"","CLASS","GENDER","MID","FINAL","BASKETBALL"
"James",23,"M",74,86,"N"
"Andrew",23,"M",74,86,"Y"
"Jim",23,"M",23,47,"Y"
"Kim",23,"M",61,78,"Y"
"Mark",23,"M",97,98,"N"
"Owen",23,"M",73,85,"Y"
"Cook",23,"M",98,99,"Y"
"Albert",23,"M",81,90,"Y"
"Donald",23,"M",70,84,"N"
"Peter",23,"M",53,72,"Y"
"Vince",23,"M",68,82,"Y"
"Davis",23,"M",83,91,"Y"
"Alan",23,"M",82,90,"Y"
"Nick",23,"M",64,80,"N"
"Elina",23,"F",72,85,"N"
"Daisy",23,"F",68,82,"Y"
"Crystal",23,"F",53,72,"N"
"Karida",23,"F",66,81,"N"
"Linda",23,"F",83,91,"N"
"Dale",23,"F",70,83,"Y"
"Sandy",23,"F",56,74,"N"
"Emma",23,"F",65,80,"N"
"Angela",23,"F",72,85,"N"
"Katie",23,"F",84,91,"N"
"Eileen",23,"F",73,85,"N"
"Meggie",23,"F",68,82,"N"
"Jack",24,"M",45,67,"Y"
"Stan",24,"M",23,47,"Y"
"Ryan",24,"M",60,77,"Y"
"Murphy",24,"M",36,60,"N"
"Mike",24,"M",82,90,"Y"
"Antony",24,"M",18,42,"Y"
"Clare",24,"M",86,93,"Y"
"David",24,"M",83,91,"Y"
"Taylor",24,"M",69,83,"Y"
"Park",24,"M",78,88,"N"
"Gary",24,"M",51,71,"Y"
"Carson",24,"M",85,92,"Y"
"Elvis",24,"M",25,49,"Y"
"Kelly",24,"F",59,76,"N"
"Sara",24,"F",77,88,"N"
"Cherry",24,"F",61,78,"N"
"Lucy",24,"F",54,73,"Y"
"Hellen",24,"F",46,68,"N"
"Chloe",24,"F",95,97,"Y"
"Dorothy",24,"F",82,90,"N"
"Natalie",24,"F",73,85,"N"
"Vivien",24,"F",76,87,"N"
"Cathy",24,"F",70,84,"N"
"Carol",24,"F",55,74,"N"
"Bella",24,"F",96,98,"Y"
"Veronica",24,"F",60,77,"N"
