"","X","Student.id","Calculus","Physics","Gender"
"1","James",170101,75,74,"Male"
"2","Sam",170102,87,83,"Male"
"3","Crystal",170103,88,92,"Female"
"4","Evelyne",170104,84,82,"Female"
"5","Phoebe",170105,89,86,"Female"
"6","Vince",170106,76,85,"Male"
"7","Mike",170107,71,76,"Male"
"9","Lucy",170109,81,89,"Female"
"10","Kitty",170110,86,91,"Female"
"11","Owen",170111,88,82,"Male"
"12","Angela",170112,96,93,"Female"
"13","Christina",170113,87,81,"Female"
"14","Jamie",170114,84,80,"Female"
"15","Meggie",170115,80,82,"Female"
"16","Kevin",170116,97,99,"Male"
"17","Tom",170117,90,86,"Male"
"19","John",170119,81,88,"Male"
"20","Jason",170120,72,80,"Male"
